# InfData 機体コスト計算用テーブル
# Licensed under CC0
# http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#
# 列の概要:
# Name/Cst.	対象の機体名または機体コストです。一致する機体名もしくは機体コストを持つ機体に対して以下のコスト増加量が適用されます。
# 2-10	Lv.2～10 における Lv. 上昇ごとのコスト増加量です。
# 11-15	Lv.11～15 における Lv. 上昇ごとのコスト増加量です。
# 16	Lv.16 におけるコスト増加量です。
# 17-	Lv.17 以降における Lv. 上昇ごとのコスト増加量です。
# 
# BaseCst +
#   max(0, table["2-10"] * min(Lv - 1, 9)) +
#   max(0, table["11-15"] * min(Lv - 10, 5)) +
#   max(0, table["16"] * min(Lv - 15, 1)) +
#   max(0, table["17-"] * (Lv - 16))
# のような式で機体コストを算出することができます。
Name/Cst.	2-10	11-15	16	17-
350	32	47	59	59
375	33	47	59	59
400	34	47	59	59
425	35	47	59	59
450	35	47	59	59
475	36	47	59	59
500	37	47	59	59
525	38	47	59	59
550	38	47	59	59
B-1B	38	47	60	59
575	39	47	59	59
600	40	47	59	59
625	40	47	59	59
650	41	47	59	59
675	42	47	59	59
700	42	47	59	59
725	43	47	59	59
750	45	47	59	59
775	46	47	59	59
800	48	47	59	59
825	49	47	59	59
850	51	47	59	59
