# InfData 機体情報
# Licensed under CC0
# http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#
# ID	項目ごとに重複しない数値です。機体の識別にお使いいただけます。
# Name	機体名です。
# Role	ロールです。F, M, A, B, PF のいずれかです。
# Base Cst.	機体のコストです。ダメージ計算の際には 50 単位で切り上げて扱われます。(525 は 550 として、675 は 700 として計算)
# Handicap	ダメージ補正値です。ダメージ計算の際に威力補正値に加算されます。
# Main	主兵装です。デフォルトは MSL を使用します。
# SP.W 1	1 番目の特殊兵装です。
# SP.W 2	2 番目の特殊兵装です。
# SP.W 3	3 番目の特殊兵装です。
# BODY	BODY スロットの数です。
# ARMS	ARMS スロットの数です。
# MISC	MISC スロットの数です。
# Mod Cost	パーツ換装費用の計算元になる値です。強化型エンジンノズル S の換装費用はこれと同一であり、データリンク換装費用はこれの半分です。
ID	Name	Role	Base Cst.	Handicap	Main	SP.W 1	SP.W 2	SP.W 3	BODY	ARMS	MISC	Mod Cost
0	MiG-21bis	F	375	1		HPAA	MGP	SAAM	11	9	10	20
1	MiG-21bis -SG-	F	625			HPAA	MGP	SAAM	19	21	20	300
141	MiG-21bis -VP-	F	725	0		HPAA	MGP	SAAM	25	23	24	300
227	MiG-21bis -HB-	F	800			HPAA	MGP	HVAA	28	26	27	300?
2	F-16C	F	375	1		4AAM	HCAA	QAAM	10	10	10	20
3	F-16C -GF-	F	450	1		4AAM	HCAA	QAAM	13	13	13	50
4	F-16C -LB-	F	525	0		4AAM	HCAA	QAAM	15	17	16	150
5	F-16C -MA-	F	575	0		4AAM	HCAA	QAAM	18	18	18	150
6	F-16C -PT-	F	675			4AAM	HCAA	QAAM	22	22	22	300
151	F-16C -PJ-	F	700			4AAM	HCAA	QAAM	23	23	23	300
173	F-16C -WH-	F	725			4AAM	HCAA	QAAM	24	24	24	300?
7	F-20A	F	425	1		SAAM	HCAA	HPAA	12	12	12	20
8	F-20A -SN-	F	650	0		SAAM	HVAA	QAAM	21	21	21	300
9	F-14A	F	475	0		HVAA	SAAM	6AAM	14	14	14	20
10	F-14A -MC-	F	550	1		HVAA	SAAM	6AAM	17	17	17	150
11	F-14A -ZP-	F	550	1		HCAA	6AAM	QAAM	17	17	17	50
12	F-14A -BZ-	F	725	0		SAAM	6AAM	HPAA	24	24	24	50
162	F-14A -ED-	F	725	0		SAAM	6AAM	HPAA	24	24	24	300
163	F-14A -CH-	F	725	0		SAAM	6AAM	HPAA	24	24	24	300
164	F-14A -AC-	F	725	0		SAAM	6AAM	HPAA	24	24	24	300
13	F-14A -R1-	F	800			HCAA	SAAM	6AAM	27	27	27	300
194	F-14A -R2-	F	800			LAAM	SAAM	6AAM	27	27	27	300?
195	F-14A -R3-	F	800			HCAA	SAAM	6AAM	27	27	27	300?
196	F-14A -R4-	F	800			HCAA	SAAM	6AAM	27	27	27	300?
14	MiG-29A	F	525	0		QAAM	HVAA	4AAM	17	15	16	100
15	MiG-29A -LB-	F	575	0		QAAM	HVAA	4AAM	19	17	18	150
206	MiG-29A -DN-	F	700			QAAM	HVAA	4AAM	24	22	23	300?
16	F-14D	F	525	0		6AAM	HPAA	QAAM	16	16	16	100
17	F-14D -AZ-	F	575	0		6AAM	HPAA	QAAM	19	19	19	150
18	F-14D -JR-	F	625	0		6AAM	HPAA	QAAM	19	21	20	300
181	F-14D -LC-	F	700			6AAM	HPAA	QAAM	23	23	23	300?
19	F-15C	F	550	1		SAAM	4AAM	HPAA	17	17	17	100
20	F-15C -SC-	F	650			SAAM	4AAM	HPAA	21	21	21	300
21	F-15C -PT-	F	675			SAAM	4AAM	HPAA	22	22	22	300
