# InfData 兵装情報
# Licensed under CC0
# http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#
# ID	項目ごとに重複しない数値です。兵装の識別にお使いいただけます。
# Name	兵装の名前です。
# Role	兵装の分類です。A (対空), G (対地), O (その他) のいずれかです。
# Category	兵装の種別です。
# Air F	Fighter の対空時の兵装倍率です。
# Air M	Multirole の対空時の兵装倍率です。
# Air A	Attacker の対空時の兵装倍率です。
# Air B	Bomber の対空時の兵装倍率です。
# Air PF	Piston Fighter の対空時の兵装倍率です。
# Ground F	Fighter の対地時の兵装倍率です。
# Ground M	Multirole の対地時の兵装倍率です。
# Ground A	Attacker の対地時の兵装倍率です。
# Ground B	Bomber の対地時の兵装倍率です。
# Ground PF	Piston Fighter の対地時の兵装倍率です。
# Strong Multiplier	特効対象の敵への攻撃時に掛けられる値です。
# Weak Divider	耐性を持つ敵への攻撃時に割る値です。
# Max Simultaneous Attacks	最大同時発射数です。
# Initial Power	Lv.1 時の威力補正値です。
# Power Increment	Lv. 上昇ごとに増加する威力補正値です。
# Fixed Base Cst.	機体のコストに関わらず固定の威力である場合、機体の代わりに計算に用いられるコストです。
# Related Damage	多段攻撃でそれぞれの威力が異なる場合、連続する威力を計算するために参照する兵装定義の名前です。
# Cst.	兵装の各 Lv. ごとのコストです。
ID	Name	Role	Category	Air F	Air M	Air A	Air B	Air PF	Ground F	Ground M	Ground A	Ground B	Ground PF	Strong Multiplier	Weak Divider	Max Simultaneous Attacks	Initial Power	Power Increment	Fixed Base Cst.	Related Damage	Cst.
-1	MSL	O	MSL	1.6	1.4	1.12		3.2	0.8	1.2	1.92		1.6			2	1	1			0
-2	MGPB	G	SP.B									8?				2	-1?	0.8			0
-3	12.7mm	O	GUN													0	1	1			0
-4	13mm	O	GUN													0	1	1			0
-5	7.7mm	O	GUN													0	1	1			0
-6	LOOP	O	LOOP													0					0
0	HPAA	A	SP.M	3.2	2.8	2.24			1.6	2.4	3.84					2	1	1.4375			12,27,35,64,91
1	MHPM	A	SP.M	3.2	2.8	2.24			1.6	2.4	3.84					2	1	1.4375			12,28,36,67,96
2	HVAA	A	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					2	1	1.25			10,24,32,58,84
3	HCAA	A	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					2	1	1.25			10,24,32,58,84
4	LAAM	A	SP.M	3.2	2.8	2.24			1.6	2.4	3.84					2	-0.875	0.40625			17,32,42,67,92
5	SAAM	A	SP.M	2.6	2.275	1.82			1.3	1.95	3.12			2		2	1	1.75			10,24,32,58,84
6	QAAM	A	SP.M	2.6	2.275	1.82			1.3	1.95	3.12					2	1	0.5			10,24,32,58,84
7	4AAM	A	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					4	1	0.5			14,30,38,69,98
8	6AAM	A	SP.M	1.6	1.4	1.12			0.8	1.2	1.92					6	1	0.5			16,33,42,74,105
9	LAGM	G	SP.M	2.4	2.1	1.68			1.2	1.8	2.88			1.5		2	1	0.4			12,27,35,64,91
